
B11092584;Școala Gimnazială Voievod Neagoe Basarab;8.00;-;-;6.85;-;-;-;-;-;-;7.42;
B10772047;Școala Gimnazială nr. 66;7.95;-;-;6.90;-;-;-;-;-;-;7.42;
B10650933;Școala Gimnazială nr. 195;7.85;-;-;7.00;-;-;-;-;-;-;7.42;
B10378436;Şcoala Gimnazială nr. 192;7.85;-;-;7.00;-;-;-;-;-;-;7.42;
B10911217;Şcoala Gimnazială nr. 119;7.85;-;-;7.00;-;-;-;-;-;-;7.42;
B10726479;Şcoala Gimnazială nr. 133;7.80;-;-;7.05;-;-;-;-;-;-;7.42;
B10314200;Școala Gimnazială ”Grigorie Ghica Voievod”;7.80;-;-;7.05;-;-;-;-;-;-;7.42;
B10778161;Şcoala Gimnazială Regele Mihai I;7.75;-;-;7.10;-;-;-;-;-;-;7.42;
B10804251;Școala Gimnazială nr. 308;7.75;-;-;7.10;-;-;-;-;-;-;7.42;
B10522793;Liceul Teoretic Ștefan Odobleja;7.75;8.25;8.25;6.60;-;-;-;-;-;-;7.42;
B10770866;Școala Gimnazială Maria Rosetti;7.70;7.85;7.85;7.00;-;-;-;-;-;-;7.42;
B11063479;Şcoala Gimnazială nr. 142;7.65;-;-;7.20;-;-;-;-;-;-;7.42;
B11003813;Şcoala Gimnazială nr. 133;7.65;-;-;7.20;-;-;-;-;-;-;7.42;
B10718370;Şcoala Gimnazială nr. 190;7.60;-;-;7.25;-;-;-;-;-;-;7.42;
B9922795;Şcoala Gimnazială nr. 190;7.60;-;-;7.25;-;-;-;-;-;-;7.42;
B10891368;Şcoala Gimnazială nr. 280;7.55;-;-;7.30;-;-;-;-;-;-;7.42;
B11034950;Şcoala Gimnazială nr. 156;7.55;-;-;7.30;-;-;-;-;-;-;7.42;
B10829992;Școala Gimnazială Metropolitană Arc;7.55;-;-;7.30;-;-;-;-;-;-;7.42;
B10610156;Şcoala Gimnazială nr. 163;7.55;7.90;7.90;6.95;6.95;6.95;-;-;-;-;7.42;
B10131375;Liceul Teoretic Ion Barbu;7.35;-;-;7.50;-;-;-;-;-;-;7.42;
B10867958;Școala Gimnazială „Regina Maria;7.35;-;-;7.50;-;-;-;-;-;-;7.42;
B10876412;Colegiul Național ”Emil Racoviță”;7.30;-;-;7.55;-;-;-;-;-;-;7.42;
B10276760;Școala Gimnazială Liviu Rebreanu;7.20;-;-;7.65;-;-;-;-;-;-;7.42;
B10329402;Colegiul Național ”Victor Babeș”;7.20;-;-;7.65;-;-;-;-;-;-;7.42;
B13613263;Școala Gimnazială ”Iancului”;7.15;7.25;7.25;7.60;-;-;-;-;-;-;7.42;
