
B10539042;Școala Gimnazială nr. 27;1.50;-;-;2.00;-;-;-;-;-;-;1.75;
B11093206;Școala Gimnazială Voievod Neagoe Basarab;1.50;-;-;2.00;-;-;-;-;-;-;1.75;
B12249646;Şcoala Gimnazială nr. 6;1.00;-;-;1.00;-;-;-;-;-;-;1.00;
B10624286;Şcoala Gimnazială Sfinţii Constantin și Elena;5.05;-;-;-;-;-;-;-;-;-;Absent;
B10769040;Școala Gimnazială nr. 80;4.45;-;-;-;-;-;-;-;-;-;Absent;
B10593488;Școala Gimnazială nr. 189;4.05;-;-;-;-;-;-;-;-;-;Absent;
B8497531;Şcoala Gimnazială nr. 163;4.05;-;-;-;-;-;-;-;-;-;Absent;
B10911455;Şcoala Gimnazială nr. 119;4.00;-;-;-;-;-;-;-;-;-;Absent;
B10583328;Şcoala Gimnazială nr. 124;2.75;-;-;-;-;-;-;-;-;-;Absent;
B12570100;Şcoala Gimnazială Ion I.C. Brătianu;2.70;-;-;-;-;-;-;-;-;-;Absent;
B10684226;Şcoala Gimnazială Petrache Poenaru;2.10;-;-;-;-;-;-;-;-;-;Absent;
B10661567;Școala Gimnazială nr.145;-;-;-;4.80;-;-;-;-;-;-;Absent;
B10638496;Școala Gimnazială nr. 112;-;-;-;4.00;-;-;-;-;-;-;Absent;
B10755485;Școala Gimnazială nr. 81;-;-;-;1.50;-;-;-;-;-;-;Absent;
B10827804;Şcoala Gimnazială nr. 108;-;-;-;-;-;-;-;-;-;-;Absent;
B10725064;Şcoala Gimnazială nr. 108;-;-;-;-;-;-;-;-;-;-;Absent;
B10655762;Şcoala Gimnazială nr. 108;-;-;-;-;-;-;-;-;-;-;Absent;
B9297114;Şcoala Gimnazială nr. 108;-;-;-;-;-;-;-;-;-;-;Absent;
B10709419;Școala Gimnazială nr. 92;-;-;-;-;-;-;-;-;-;-;Absent;
B10856946;Școala Gimnazială Mihai Botez;-;-;-;-;-;-;-;-;-;-;Absent;
B10858639;Școala Gimnazială Mihai Botez;-;-;-;-;-;-;-;-;-;-;Absent;
B10619063;Şcoala Gimnazială nr. 153;-;-;-;-;-;-;-;-;-;-;Absent;
B11120638;Şcoala Gimnazială nr. 156;-;-;-;-;-;-;-;-;-;-;Absent;
B8161830;Școala Profesională Specială pentru Deficienţi de Auz Sfânta Maria;-;-;-;-;-;-;-;-;-;-;Absent;
B10276520;Şcoala Gimnazială Adrian Păunescu;-;-;-;-;-;-;-;-;-;-;Absent;
