
B11000294;Şcoala Gimnazială nr. 133;8.70;-;-;8.95;-;-;-;-;-;-;8.82;
B10306066;Şcoala Gimnazială Sfântul Andrei;8.70;-;-;8.95;-;-;-;-;-;-;8.82;
B10868331;Școala Gimnazială „Regina Maria;8.70;-;-;8.90;8.95;8.95;-;-;-;-;8.82;
B10745277;Școala Gimnazială nr. 80;8.70;9.05;9.05;8.60;-;-;-;-;-;-;8.82;
B10527412;Liceul Teoretic Nicolae Iorga;8.70;9.25;9.25;8.40;-;-;-;-;-;-;8.82;
B8248695;Liceul Teoretic Dimitrie Bolintineanu;8.65;-;-;9.00;-;-;-;-;-;-;8.82;
B10681823;Şcoala Gimnazială nr. 108;8.65;-;-;9.00;-;-;-;-;-;-;8.82;
B11019494;Şcoala Gimnazială nr. 194;8.65;-;-;9.00;-;-;-;-;-;-;8.82;
B10693077;Şcoala Gimnazială nr. 7;8.65;8.80;8.80;8.50;8.85;8.85;-;-;-;-;8.82;
B10871916;Școala Gimnazială nr. 20;8.65;-;-;8.05;9.00;9.00;-;-;-;-;8.82;
B10304776;Școala Gimnazială ”Grigorie Ghica Voievod”;8.60;-;-;9.05;-;-;-;-;-;-;8.82;
B11046586;Școala Gimnazială Nicolae Labiș;8.60;-;-;9.05;-;-;-;-;-;-;8.82;
B10325228;Școala Gimnazială „Orizont;8.60;-;-;9.05;-;-;-;-;-;-;8.82;
B10639550;Școala Gimnazială Leonardo Da Vinci;8.60;8.90;8.90;8.75;-;-;-;-;-;-;8.82;
B10878122;Școala Gimnazială nr. 97;8.55;-;-;9.10;-;-;-;-;-;-;8.82;
B10327435;Școala Gimnazială nr. 39;8.55;-;-;9.10;-;-;-;-;-;-;8.82;
B10592816;Colegiul Naţional de Muzică George Enescu;8.55;-;-;9.10;-;-;-;-;-;-;8.82;
B10127656;Şcoala Gimnazială Alexandru Costescu;8.55;-;-;9.10;-;-;-;-;-;-;8.82;
B10777953;Şcoala Gimnazială nr. 59;8.50;8.15;8.15;9.45;9.50;9.50;-;-;-;-;8.82;
B10775193;Şcoala Gimnazială Sfinţii Constantin și Elena;8.50;-;-;9.15;-;-;-;-;-;-;8.82;
B10908862;Şcoala Gimnazială nr. 119;8.50;-;-;9.15;-;-;-;-;-;-;8.82;
B10775877;Școala Gimnazială nr. 97;8.50;-;-;9.15;-;-;-;-;-;-;8.82;
B10781328;Şcoala Gimnazială nr. 179;8.50;8.75;8.75;8.90;-;-;-;-;-;-;8.82;
B10770722;Școala Gimnazială Maria Rosetti;8.45;-;-;9.20;-;-;-;-;-;-;8.82;
B10706092;Colegiul Național Bilingv ”George Coșbuc”;8.45;-;-;9.20;-;-;-;-;-;-;8.82;
