
B10955921;Şcoala Gimnazială Sfântul Andrei;5.70;-;-;6.40;-;-;-;-;-;-;6.05;
B11010408;Şcoala Gimnazială Ion Dumitriu;5.70;-;-;6.40;-;-;-;-;-;-;6.05;
B10626021;Școala Gimnazială nr. 85;5.60;-;-;6.50;-;-;-;-;-;-;6.05;
B10838804;Şcoala Gimnazială nr. 181;5.60;-;-;6.50;-;-;-;-;-;-;6.05;
B8147203;Şcoala Gimnazială nr. 127;5.50;-;-;6.60;-;-;-;-;-;-;6.05;
B1625701;Școala Gimnazială nr. 78;5.40;-;-;6.70;-;-;-;-;-;-;6.05;
B9206643;Şcoala Gimnazială Ion I.C. Brătianu;5.30;6.00;6.00;6.10;-;-;-;-;-;-;6.05;
B10739584;Şcoala Gimnazială nr. 280;5.00;-;-;7.10;-;-;-;-;-;-;6.05;
B10778684;Liceul Teoretic Eugen Lovinescu;7.50;-;-;4.55;-;-;-;-;-;-;6.02;
B10978594;Școala Gimnazială nr. 32;7.35;-;-;4.70;-;-;-;-;-;-;6.02;
B9789641;Şcoala Gimnazială nr. 134;7.05;-;-;5.00;-;-;-;-;-;-;6.02;
B10856701;Şcoala Gimnazială General Eremia Grigorescu;6.95;-;-;5.10;-;-;-;-;-;-;6.02;
B10814155;Școala Gimnazială ”George Bacovia”;6.95;-;-;5.10;-;-;-;-;-;-;6.02;
B10761080;Şcoala Gimnazială nr. 179;6.85;-;-;5.20;-;-;-;-;-;-;6.02;
B11056628;Școala Gimnazială nr. 82;6.85;-;-;5.20;-;-;-;-;-;-;6.02;
B11127973;Școala Gimnazială Nicolae Labiș;6.80;-;-;5.25;-;-;-;-;-;-;6.02;
B10863084;Școala Gimnazială nr. 80;6.75;-;-;5.30;-;-;-;-;-;-;6.02;
B7632451;Colegiul Naţional de Arte Dinu Lipatti;6.70;-;-;5.35;-;-;-;-;-;-;6.02;
B10769065;Şcoala Gimnazială Principesa Margareta;6.65;-;-;5.40;-;-;-;-;-;-;6.02;
B10316010;Şcoala Gimnazială nr. 188;6.55;-;-;5.50;-;-;-;-;-;-;6.02;
B10974978;Școala Gimnazială ”Ferdinand I”;6.55;-;-;5.50;-;-;-;-;-;-;6.02;
B10100230;Școala Gimnazială ”Grigorie Ghica Voievod”;6.55;6.95;6.95;5.30;5.10;5.10;-;-;-;-;6.02;
B10669598;Liceul Tehnologic Sf. Antim Ivireanu;6.50;-;-;5.55;-;-;-;-;-;-;6.02;
B8751788;Şcoala Gimnazială Luceafărul;6.50;-;-;5.55;-;-;-;-;-;-;6.02;
B10738959;Liceul Tehnologic ”Sfântul Pantelimon”;6.40;-;-;5.75;5.65;5.65;-;-;-;-;6.02;
