
B10930273;Şcoala Gimnazială nr. 108;1.25;-;-;2.50;-;-;-;-;-;-;1.87;
B10703796;Şcoala Gimnazială nr. 6;1.20;-;-;2.50;-;-;-;-;-;-;1.85;
B10280625;Liceul Tehnologic Special nr. 3;1.50;-;-;1.00;-;-;-;-;-;-;1.25;
B10279840;Liceul Tehnologic Special nr. 3;1.00;-;-;1.00;-;-;-;-;-;-;1.00;
B10374340;Şcoala Gimnazială nr. 161;5.10;-;-;-;-;-;-;-;-;-;Absent;
B10790586;Şcoala Gimnazială nr. 168;4.30;-;-;-;-;-;-;-;-;-;Absent;
B9319289;Școala Gimnazială nr. 55;3.20;-;-;-;-;-;-;-;-;-;Absent;
B10738968;Școala Gimnazială Șerban-Vodă;3.15;-;-;-;-;-;-;-;-;-;Absent;
B10494182;Şcoala Gimnazială nr. 168;3.00;-;-;-;-;-;-;-;-;-;Absent;
B10502037;Școala Gimnazială nr. 85;2.90;-;-;-;-;-;-;-;-;-;Absent;
B11045100;Școala Gimnazială Cezar Bolliac;2.90;-;-;-;-;-;-;-;-;-;Absent;
B10536576;Școala Gimnazială nr. 116;2.35;-;-;-;-;-;-;-;-;-;Absent;
B11100208;Şcoala Gimnazială Ion I.C. Brătianu;1.20;-;-;-;-;-;-;-;-;-;Absent;
B10762683;Școala Gimnazială ”Maica Domnului”;-;-;-;7.00;-;-;-;-;-;-;Absent;
B12259146;Liceul Tehnologic ”Sfântul Pantelimon”;-;-;-;5.65;-;-;-;-;-;-;Absent;
B10997409;Şcoala Gimnazială Nicolae Grigorescu;-;-;-;4.05;-;-;-;-;-;-;Absent;
B10790232;Şcoala Gimnazială Emil Racoviţă;-;-;-;4.05;-;-;-;-;-;-;Absent;
B10763462;Școala Gimnazială ”Maica Domnului”;-;-;-;3.05;-;-;-;-;-;-;Absent;
B10981565;Liceul Teoretic Decebal;-;-;-;-;-;-;-;-;-;-;Absent;
B10999560;Liceul Teoretic Decebal;-;-;-;-;-;-;-;-;-;-;Absent;
B13402432;Liceul Teoretic Decebal;-;-;-;-;-;-;-;-;-;-;Absent;
B13910910;Liceul Teoretic Decebal;-;-;-;-;-;-;-;-;-;-;Absent;
B13910915;Liceul Teoretic Decebal;-;-;-;-;-;-;-;-;-;-;Absent;
B13611510;Liceul Teoretic Decebal;-;-;-;-;-;-;-;-;-;-;Absent;
B13611426;Liceul Teoretic Decebal;-;-;-;-;-;-;-;-;-;-;Absent;
