

B10714704;Școala Gimnazială nr. 80;7.60;7.85;7.85;8.95;-;-;-;-;-;-;8.40;
B13141142;Şcoala Gimnazială Nicolae Titulescu;7.55;-;-;9.25;-;-;-;-;-;-;8.40;
B10278440;Şcoala Gimnazială nr. 7;7.40;7.90;7.90;8.10;8.90;8.90;-;-;-;-;8.40;
B10870411;Școala Gimnazială „Orizont;7.20;8.00;8.00;8.80;-;-;-;-;-;-;8.40;
B11006008;Școala Gimnazială nr. 97;7.00;7.90;7.90;8.90;-;-;-;-;-;-;8.40;
B10600998;Școala Gimnazială Maria Rosetti;6.65;7.10;7.10;9.70;-;-;-;-;-;-;8.40;
B10770536;Colegiul German Goethe;8.10;-;-;8.75;-;-;Limba germană;8.30;-;-;8.38;
B10992456;Liceul Pedagogic Anastasia Popescu;9.45;-;-;7.30;-;-;-;-;-;-;8.37;
B10708821;Şcoala Gimnazială nr. 117;9.40;-;-;7.35;-;-;-;-;-;-;8.37;
B10672465;Școala Gimnazială Liviu Rebreanu;9.30;-;-;7.45;-;-;-;-;-;-;8.37;
B10787795;Şcoala Gimnazială nr. 59;9.30;-;-;7.45;-;-;-;-;-;-;8.37;
B10987600;Şcoala Gimnazială nr. 133;9.30;-;-;7.45;-;-;-;-;-;-;8.37;
B10703499;Școala Gimnazială Nicolae Labiș;9.25;-;-;7.50;-;-;-;-;-;-;8.37;
B10874878;Școala Gimnazială nr. 55;9.20;-;-;7.55;-;-;-;-;-;-;8.37;
B10894714;Şcoala Gimnazială Principesa Margareta;9.15;-;-;7.60;-;-;-;-;-;-;8.37;
B10479695;Şcoala Gimnazială nr. 7;9.15;-;-;7.60;-;-;-;-;-;-;8.37;
B11097455;Şcoala Gimnazială nr. 197;9.10;-;-;7.50;7.65;7.65;-;-;-;-;8.37;
B10867784;Școala Gimnazială „Orizont;9.05;-;-;7.70;-;-;-;-;-;-;8.37;
B10981297;Şcoala Gimnazială nr. 133;9.05;-;-;7.70;-;-;-;-;-;-;8.37;
B10993011;Şcoala Gimnazială nr. 117;9.05;9.30;9.30;7.40;7.45;7.45;-;-;-;-;8.37;
B10810180;Şcoala Gimnazială nr. 206;9.00;-;-;7.75;-;-;-;-;-;-;8.37;
B11135328;Școala Gimnazială Copil Dorit;9.00;-;-;7.75;-;-;-;-;-;-;8.37;
B10693467;Liceul Teoretic Nichita Stănescu;9.00;-;-;7.75;-;-;-;-;-;-;8.37;
B11046280;Şcoala Gimnazială nr. 179;8.90;-;-;7.85;-;-;-;-;-;-;8.37;
B11050226;Şcoala Gimnazială Petre Ispirescu;8.90;-;-;7.85;-;-;-;-;-;-;8.37;
