
B11070525;Şcoala Gimnazială Herăstrău;3.90;-;-;6.05;-;-;-;-;-;-;4.97;
B10316318;Colegiul German Goethe;5.00;-;-;7.30;-;-;Limba germană;2.60;-;-;4.96;
B10759790;Şcoala Gimnazială nr. 181;6.20;-;-;3.70;-;-;-;-;-;-;4.95;
B9972480;Liceul Teoretic Dante Alighieri;6.00;-;-;3.90;-;-;-;-;-;-;4.95;
B11038425;Şcoala Gimnazială nr. 156;6.00;-;-;3.90;-;-;-;-;-;-;4.95;
B11014121;Şcoala Gimnazială Emil Racoviţă;5.80;-;-;4.10;-;-;-;-;-;-;4.95;
B10619027;Școala Gimnazială nr. 189;5.70;-;-;4.20;-;-;-;-;-;-;4.95;
B10934506;Școala Gimnazială „Regina Maria;5.65;5.70;5.70;4.20;4.20;4.20;-;-;-;-;4.95;
B11046789;Şcoala Gimnazială Petre Ghelmez;5.60;-;-;4.30;-;-;-;-;-;-;4.95;
B10999761;Şcoala Gimnazială nr. 184;5.60;-;-;4.30;-;-;-;-;-;-;4.95;
B10764724;Școala Gimnazială Cezar Bolliac;5.25;5.20;5.20;4.65;4.70;4.70;-;-;-;-;4.95;
B10650346;Şcoala Gimnazială nr. 136;5.25;-;-;4.65;-;-;-;-;-;-;4.95;
B10174112;Şcoala Gimnazială nr. 119;5.20;-;-;4.70;-;-;-;-;-;-;4.95;
B10625589;Şcoala Gimnazială Principesa Margareta;5.05;5.00;5.00;4.90;4.90;4.90;-;-;-;-;4.95;
B10159653;Liceul Teoretic Alexandru Vlahuţă;5.00;-;-;4.90;-;-;-;-;-;-;4.95;
B10658387;Colegiul Romano-Catolic Sfântul Iosif;5.00;-;-;4.90;-;-;-;-;-;-;4.95;
B10128533;Liceul Teoretic Ion Barbu;5.00;-;-;4.85;4.90;4.90;-;-;-;-;4.95;
B10304736;Școala Gimnazială nr. 27;4.90;-;-;5.00;-;-;-;-;-;-;4.95;
B10895468;Şcoala Gimnazială nr. 124;4.85;5.00;5.00;4.90;4.90;4.90;-;-;-;-;4.95;
B10300291;Şcoala Gimnazială nr. 188;4.75;-;-;5.15;-;-;-;-;-;-;4.95;
B10785906;Școala Gimnazială nr. 99;4.70;-;-;5.20;-;-;-;-;-;-;4.95;
B10879391;Școala Gimnazială nr. 99;4.45;-;-;5.45;-;-;-;-;-;-;4.95;
B10989253;Școala Gimnazială nr. 165;4.40;-;-;5.50;-;-;-;-;-;-;4.95;
B13686572;Şcoala Gimnazială „Liberă Waldorf”;4.40;-;-;5.50;-;-;-;-;-;-;4.95;
B10804451;Școala Gimnazială nr.145;4.20;-;-;5.70;-;-;-;-;-;-;4.95;
