
B10606641;Liceul Tehnologic Sf. Antim Ivireanu;8.10;-;-;8.55;-;-;-;-;-;-;8.32;
B10758203;Şcoala Gimnazială Sfântul Andrei;8.10;-;-;8.55;-;-;-;-;-;-;8.32;
B8528493;Colegiul Naţional de Muzică George Enescu;8.10;-;-;8.55;-;-;-;-;-;-;8.32;
B10533560;Şcoala Gimnazială Constantin Brâncuşi;8.10;-;-;8.55;-;-;-;-;-;-;8.32;
B10760424;Şcoala Gimnazială Sfintii Voievozi;8.10;-;-;8.55;-;-;-;-;-;-;8.32;
B10832675;Liceul Teoretic Dante Alighieri;8.10;-;-;8.55;-;-;-;-;-;-;8.32;
B10786510;Școala Gimnazială nr. 51;8.10;8.30;8.30;8.50;8.35;8.35;-;-;-;-;8.32;
B10022305;Şcoala Gimnazială nr. 150;8.05;-;-;8.60;-;-;-;-;-;-;8.32;
B9909657;Școala Gimnazială nr. 28;8.05;-;-;8.60;-;-;-;-;-;-;8.32;
B11011899;Şcoala Gimnazială Ion Dumitriu;8.05;8.60;8.60;8.05;-;-;-;-;-;-;8.32;
B10131143;Școala Gimnazială nr. 195;8.00;-;-;8.65;-;-;-;-;-;-;8.32;
B7988137;Şcoala Gimnazială nr. 5;8.00;-;-;8.65;-;-;-;-;-;-;8.32;
B10937638;Şcoala Gimnazială nr. 84;8.00;-;-;8.65;-;-;-;-;-;-;8.32;
B11014490;Şcoala Gimnazială Ion Dumitriu;8.00;-;-;8.65;-;-;-;-;-;-;8.32;
B9966878;Școala Gimnazială nr. 95;8.00;8.25;8.25;8.40;-;-;-;-;-;-;8.32;
B9991773;Şcoala Gimnazială nr. 150;7.95;7.95;7.95;8.70;-;-;-;-;-;-;8.32;
B10753228;Liceul Teoretic Mihai Ionescu;7.90;-;-;8.75;-;-;-;-;-;-;8.32;
B11044276;Şcoala Gimnazială nr. 156;7.80;-;-;8.85;-;-;-;-;-;-;8.32;
B10603458;Şcoala Gimnazială nr. 169;7.80;-;-;8.85;-;-;-;-;-;-;8.32;
B10626633;Liceul Teoretic Bilingv ”Ita Wegman”;7.80;8.40;8.40;8.25;-;-;-;-;-;-;8.32;
B10623967;Școala Gimnazială nr. 81;7.70;7.80;7.80;8.85;-;-;-;-;-;-;8.32;
B10873787;Colegiul Naţional Mihai Eminescu;7.70;8.00;8.00;8.65;-;-;-;-;-;-;8.32;
B7913763;Şcoala Gimnazială Sfinţii Constantin și Elena;7.65;7.95;7.95;8.70;-;-;-;-;-;-;8.32;
B10850015;Școala Gimnazială Mihai Botez;7.65;8.60;8.60;7.85;8.05;8.05;-;-;-;-;8.32;
B11089589;Liceul Teoretic Decebal;7.60;-;-;9.05;-;-;-;-;-;-;8.32;
