
B10474802;Școala Gimnazială nr. 88;9.00;-;-;9.70;-;-;-;-;-;-;9.35;
B2258001;Școala Gimnazială nr. 97;9.00;9.05;9.05;9.65;-;-;-;-;-;-;9.35;
B10574770;Școala Gimnazială nr. 112;9.00;9.10;9.10;9.60;-;-;-;-;-;-;9.35;
B10291016;Liceul Teoretic „Sfinții Trei Ierarhi;8.95;8.90;8.90;9.80;-;-;-;-;-;-;9.35;
B10630839;Colegiul Romano-Catolic Sfântul Iosif;8.95;-;-;9.75;-;-;-;-;-;-;9.35;
B10316785;Liceul Teoretic Ștefan Odobleja;8.90;-;-;9.80;-;-;-;-;-;-;9.35;
B9858923;Colegiul Naţional Elena Cuza;8.90;-;-;9.80;-;-;-;-;-;-;9.35;
B10549190;Liceul Teoretic Jean Monnet;8.90;-;-;9.15;9.80;9.80;-;-;-;-;9.35;
B10783475;Școala Gimnazială Leonardo Da Vinci;8.90;9.60;9.60;9.10;-;-;-;-;-;-;9.35;
B11093373;Şcoala Gimnazială nr. 197;8.85;-;-;9.85;-;-;-;-;-;-;9.35;
B11059028;Şcoala Gimnazială Herăstrău;8.85;-;-;9.85;-;-;-;-;-;-;9.35;
B10612922;Colegiul Național Școala Centrală”;8.85;8.90;8.90;9.80;-;-;-;-;-;-;9.35;
B10672034;Şcoala Gimnazială I. G. Duca;8.80;-;-;9.90;-;-;-;-;-;-;9.35;
B1009901;Liceul Teoretic King George;8.80;-;-;9.90;-;-;-;-;-;-;9.35;
B10519622;Şcoala Gimnazială I. Heliade Rădulescu;8.80;9.00;9.00;9.70;-;-;-;-;-;-;9.35;
B11100205;Colegiul Naţional Grigore Moisil;8.80;9.00;9.00;9.70;-;-;-;-;-;-;9.35;
B7962963;Şcoala Gimnazială nr. 179;8.75;8.80;8.80;9.90;-;-;-;-;-;-;9.35;
B9263035;Liceul Teoretic Mihai Ionescu;8.75;9.10;9.10;9.60;-;-;-;-;-;-;9.35;
B11025288;Liceul Teoretic Marin Preda;8.70;8.80;8.80;9.90;-;-;-;-;-;-;9.35;
B10057429;Şcoala Gimnazială nr. 150;8.70;8.80;8.80;9.90;-;-;-;-;-;-;9.35;
B10862261;Liceul Teoretic Internațional de Informatică Bucuresti;8.70;8.90;8.90;9.80;-;-;-;-;-;-;9.35;
B11058911;Şcoala Gimnazială Herăstrău;8.70;9.00;9.00;9.70;-;-;-;-;-;-;9.35;
B11188286;Colegiul German Goethe;8.70;8.75;8.75;9.50;-;-;Limba germană;9.80;-;-;9.35;
B10962034;Şcoala Gimnazială nr. 194;8.70;9.30;9.30;9.45;9.40;9.40;-;-;-;-;9.35;
B10996982;Școala Gimnazială Alexandru Ioan Cuza;8.70;9.35;9.35;9.35;-;-;-;-;-;-;9.35;
